City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mandera,KE,3.9366,41.867,84.97,44,95,16.44,overcast clouds
80,Poum,NC,-20.2333,164.0167,77.67,91,100,14.36,overcast clouds
81,Valdepenas,ES,38.7621,-3.3848,44.02,61,52,3.56,broken clouds
82,Cefalu,IT,38.0386,14.0229,53.74,79,42,8.99,scattered clouds
83,Mende,FR,44.6667,3.5,33.17,99,91,3.89,overcast clouds
84,Karatuzskoye,RU,53.6072,92.8667,15.39,88,100,5.61,overcast clouds
85,Hermanus,ZA,-34.4187,19.2345,63.9,88,62,7.61,broken clouds
86,Tungor,RU,53.3808,142.9564,24.22,89,100,19.06,overcast clouds
87,Labuhan,ID,-6.8844,112.2051,78.58,86,95,9.13,overcast clouds
88,Znojmo,CZ,48.8555,16.0488,37.15,94,99,8.63,overcast clouds
89,Tarko-Sale,RU,64.9225,77.785,-24.2,87,53,8.19,broken clouds
90,Havoysund,NO,70.9963,24.6622,32.88,98,100,10.07,light snow
91,Muncar,ID,-8.4333,114.3333,79.02,88,96,4.43,overcast clouds
92,Haines Junction,CA,60.7522,-137.5108,-5.85,54,99,6.91,overcast clouds
93,Lisakovsk,KZ,52.5369,62.4936,6.62,89,7,5.91,clear sky
94,Torbay,CA,47.6666,-52.7314,44.76,94,90,26.46,light intensity drizzle
95,Qaanaaq,GL,77.484,-69.3632,-3.71,72,79,3.78,broken clouds
96,Iracoubo,GF,5.4802,-53.2011,77.09,91,100,9.33,overcast clouds
97,Portland,US,45.5234,-122.6762,46.45,88,75,1.01,light rain
98,Hambantota,LK,6.1241,81.1185,78.08,81,100,14.29,overcast clouds
99,Maragogi,BR,-9.0122,-35.2225,79.03,79,21,11.36,few clouds
100,Amga,RU,60.8953,131.9608,-18.6,98,100,2.01,overcast clouds
101,Puerto Ayora,EC,-0.7393,-90.3518,69.33,92,99,7.74,overcast clouds
102,Iqaluit,CA,63.7506,-68.5145,6.53,65,75,8.01,broken clouds
103,Tulun,RU,54.5611,100.5792,14.11,85,100,11.05,overcast clouds
104,Amazar,RU,53.858,120.875,-3.08,98,100,1.16,overcast clouds
105,Mildura,AU,-34.2,142.15,89.56,18,41,12.66,scattered clouds
106,Nikolskoye,RU,59.7035,30.7861,24.4,99,100,3.29,light snow
107,Katsuura,JP,35.1333,140.3,52.2,58,82,14.07,broken clouds
108,Bredasdorp,ZA,-34.5322,20.0403,60.28,87,100,2.08,overcast clouds
109,Cootamundra,AU,-34.65,148.0333,76.95,38,0,4.61,clear sky
110,Lufilufi,WS,-13.8745,-171.5986,83.98,70,72,10.67,broken clouds
111,Pingdu,CN,36.7844,119.9464,22.44,48,0,2.53,clear sky
112,Biu,NG,10.6129,12.1946,69.4,25,71,7.72,broken clouds
113,Vila Velha,BR,-20.3297,-40.2925,78.94,85,0,11.01,clear sky
114,Maldonado,UY,-34.6667,-54.9167,76.39,85,77,6.35,broken clouds
115,Zastavna,UA,48.5231,25.8437,38.62,94,100,11.86,overcast clouds
116,Tiksi,RU,71.6872,128.8694,-18.94,100,100,2.89,overcast clouds
117,Skjervoy,NO,70.0311,20.9714,34.68,99,100,8.25,light snow
118,Narsaq,GL,60.9167,-46.05,19.62,79,3,3.15,clear sky
119,Aswan,EG,24.0934,32.907,71.33,54,79,3.94,broken clouds
120,Port Lincoln,AU,-34.7333,135.8667,63.5,60,90,13.78,overcast clouds
121,Pronsk,RU,54.1048,39.6092,23.22,85,70,9.31,broken clouds
122,Hithadhoo,MV,-0.6,73.0833,80.83,79,100,11.1,overcast clouds
123,Fare,PF,-16.7,-151.0167,80.73,75,71,11.54,light rain
124,San Quintin,MX,30.4833,-115.95,60.84,64,2,9.46,clear sky
125,Sinnamary,GF,5.3833,-52.95,76.89,91,100,9.62,overcast clouds
126,Nishihara,JP,26.1842,127.7558,67.28,81,90,16.11,mist
127,Iquique,CL,-20.2208,-70.1431,68.04,81,58,3.02,broken clouds
128,Kungurtug,RU,50.5994,97.5228,-8.07,95,66,1.63,broken clouds
