City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Baykit,RU,2021-12-12 18:47:31,61.67,96.37,-23.03,99,49,2.82
67,Humenne,SK,2021-12-12 18:47:31,48.9371,21.9163,35.78,70,100,18.01
68,Antofagasta,CL,2021-12-12 18:47:32,-23.65,-70.4,67.28,66,35,9.08
69,Souillac,MU,2021-12-12 18:47:27,-20.5167,57.5167,79.18,69,40,11.5
70,New Norfolk,AU,2021-12-12 18:47:32,-42.7826,147.0587,49.71,73,25,2.1
71,Saint-Philippe,RE,2021-12-12 18:46:14,-21.3585,55.7679,78.39,79,60,14.74
72,General Roca,AR,2021-12-12 18:47:32,-39.0333,-67.5833,76.62,14,5,27.47
73,Tautira,PF,2021-12-12 18:47:33,-17.7333,-149.15,82.42,78,44,11.74
74,Bluff,NZ,2021-12-12 18:47:33,-46.6,168.3333,51.8,81,23,2.44
75,Hobart,AU,2021-12-12 18:46:08,-42.8794,147.3294,50.05,86,75,1.01
76,Barrow,US,2021-12-12 18:47:33,71.2906,-156.7887,-9.38,70,1,13.8
77,Lagoa,PT,2021-12-12 18:47:27,39.05,-27.9833,57.52,51,100,26.13
78,Kajaani,FI,2021-12-12 18:47:33,64.2273,27.7285,26.65,93,90,3.44
79,Grand Gaube,MU,2021-12-12 18:47:34,-20.0064,57.6608,79.2,67,100,5.01
80,Bara,NG,2021-12-12 18:47:34,10.3744,10.7288,79.61,20,100,8.08
81,Dunedin,NZ,2021-12-12 18:47:34,-45.8742,170.5036,55.8,72,40,5.99
82,Flinders,AU,2021-12-12 18:47:35,-34.5833,150.8552,61.21,88,43,6.06
83,Marilia,BR,2021-12-12 18:47:35,-22.2139,-49.9458,87.67,37,40,13.8
84,Blackfoot,US,2021-12-12 18:47:36,43.1905,-112.345,36.72,69,78,18.86
85,Iqaluit,CA,2021-12-12 18:47:36,63.7506,-68.5145,6.53,71,75,1.99
86,Fortuna,US,2021-12-12 18:47:36,40.5982,-124.1573,50.34,75,40,1.01
87,Punta Arenas,CL,2021-12-12 18:45:32,-53.15,-70.9167,51.91,32,75,23.02
88,Kodiak,US,2021-12-12 18:46:16,57.79,-152.4072,9.91,56,40,23.02
89,Beloha,MG,2021-12-12 18:47:37,-25.1667,45.05,74.19,81,86,10.69
90,Patnagarh,IN,2021-12-12 18:47:37,20.7167,83.15,63.41,58,4,0.92
91,Sur,OM,2021-12-12 18:47:37,22.5667,59.5289,71.91,59,0,6.78
92,Castro,BR,2021-12-12 18:48:37,-24.7911,-50.0119,77.5,49,100,4.79
93,Vao,NC,2021-12-12 18:48:38,-22.6667,167.4833,77.68,89,100,17.56
94,Agadez,NE,2021-12-12 18:48:38,19.75,10.25,64.83,11,38,5.44
95,Petropavlovsk-Kamchatskiy,RU,2021-12-12 18:48:38,53.0452,158.6483,30.79,59,75,11.18
96,Ponta Do Sol,PT,2021-12-12 18:48:39,32.6667,-17.1,67.71,77,65,2.57
97,Naze,JP,2021-12-12 18:48:39,28.3667,129.4833,62.22,66,50,16.11
98,Hermanus,ZA,2021-12-12 18:48:39,-34.4187,19.2345,66.9,83,100,10.87
99,San Carlos De Bariloche,AR,2021-12-12 18:48:39,-41.1456,-71.3082,49.75,53,75,31.07
100,Inhambane,MZ,2021-12-12 18:48:40,-23.865,35.3833,79.95,88,1,11.39
101,Saint-Augustin,CA,2021-12-12 18:48:40,51.226,-58.6502,35.19,78,100,24.2
102,Luderitz,NA,2021-12-12 18:48:40,-26.6481,15.1594,63.28,82,2,13.78
103,Chupa,RU,2021-12-12 18:48:41,66.27,33.0549,27.3,98,100,3.44
104,Inuvik,CA,2021-12-12 18:45:49,68.3499,-133.7218,-1.19,84,90,12.66
105,Dabeiba,CO,2021-12-12 18:48:41,7.0017,-76.2672,75.81,96,100,2.86
106,Kimbe,PG,2021-12-12 18:48:41,-5.5502,150.1429,76.5,97,100,0.96
107,Nikolskoye,RU,2021-12-12 18:46:18,59.7035,30.7861,23.4,98,100,4.9
108,Usinsk,RU,2021-12-12 18:48:42,65.9939,57.5281,12.25,96,93,9.37
109,Manicore,BR,2021-12-12 18:48:42,-5.8092,-61.3003,81.03,83,96,3.56
