City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
213,Alofi,NU,82.29,clear sky,-19.0595,-169.9187,Taloa Heights
216,Ambulu,ID,80.74,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
223,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
224,Tuburan,PH,78.89,scattered clouds,6.6439,122.2736,GT Site
228,Am Timan,TD,77.2,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
233,Cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
235,Sao Felix Do Xingu,BR,73.62,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
236,Maumere,ID,83.19,overcast clouds,-8.6199,122.2111,Sylvia Hotel
237,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
238,Hoi An,VN,75.16,broken clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
239,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
248,Santa Cruz,BO,78.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
250,Dingle,PH,80.01,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
252,Noumea,NC,82.38,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
254,Farafangana,MG,73.02,scattered clouds,-22.8167,47.8333,Miarina
255,Morondava,MG,78.64,broken clouds,-20.2833,44.2833,La Case Bambou
261,Namatanai,PG,84.76,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
262,Eyl,SO,75.02,few clouds,7.9803,49.8164,Amiin Hotel
267,Yenagoa,NG,80.19,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
273,Caravelas,BR,76.57,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
276,Green Valley,US,75.16,clear sky,31.8543,-110.9937,Best Western Green Valley Inn
283,Massape,BR,81.25,broken clouds,-3.5228,-40.3428,Pousada Recanto de Fátima
286,Banda Aceh,ID,77.13,scattered clouds,5.5577,95.3222,Sulthan Hotel International
291,Nueva Gerona,CU,78.31,clear sky,21.8833,-82.8,Villa Gerona
292,Port Alfred,ZA,71.02,overcast clouds,-33.5906,26.891,The Halyards Hotel
298,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
299,Salinopolis,BR,81.66,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
301,Cururupu,BR,78.8,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
303,Swan Hill,AU,89.49,clear sky,-35.3378,143.5544,Lazy River Motor Inn
305,Saint-Pierre,RE,76.68,few clouds,-21.3393,55.4781,Lindsey Hôtel
308,Ballina,AU,75.38,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
309,Mogadishu,SO,79.02,overcast clouds,2.0371,45.3438,Hotel Juba
310,Cairns,AU,89.55,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
319,Richards Bay,ZA,75.63,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
320,Chabahar,IR,70.72,few clouds,25.2919,60.643,هتل گدروشیا
322,Byron Bay,AU,76.87,overcast clouds,-28.65,153.6167,Backpackers Inn
323,Iquitos,PE,87.84,clear sky,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
325,Wakema,MM,70.84,few clouds,16.6,95.1833,AungKaDay Hotel
326,Kerema,PG,83.34,overcast clouds,-7.9631,145.7785,Frena Lodge
329,Abadiania,BR,70.72,light rain,-16.2042,-48.7069,Pousada Lírio D'Água
333,Quevedo,EC,73.36,light rain,-1.0333,-79.45,Hotel Tuistico Ejecutivo
335,Tchamba,TG,78.03,few clouds,9.0333,1.4167,ROYAL HOTEL TCHAMBA
341,Trairi,BR,80.8,broken clouds,-3.2778,-39.2689,janelas do mar
343,Dhidhdhoo,MV,81.34,overcast clouds,6.8833,73.1,Dhidhoo beach
351,Malakal,SS,77.54,broken clouds,9.5334,31.6605,Nile Palace Hotel
352,San Martin,AR,73.94,broken clouds,-33.081,-68.4681,Club El Pelícano
356,Pringsewu,ID,75.96,broken clouds,-5.3582,104.9744,Urban Style by Front One
